Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1BfR5GMOgW0peHkPxrwf11,"4NpFxQe2UvRCAjto3JqlSl","Safari Song","From The Fires","Greta Van Fleet",2017-11-10,234600,68,spotify:user:thecrook011,2021-04-16T00:57:29Z,"modern blues rock,modern hard rock,rock",0.362,0.928,2,-4.015,1,0.0503,0.164,0.0000161,0.315,0.678,175.868,4
4rhUBIlzi7zgV7TryhVujl,"4NpFxQe2UvRCAjto3JqlSl","Edge Of Darkness","From The Fires","Greta Van Fleet",2017-11-10,268400,60,spotify:user:thecrook011,2021-04-16T00:57:31Z,"modern blues rock,modern hard rock,rock",0.456,0.943,9,-3.819,1,0.0553,0.00753,0.143,0.078,0.666,148.017,4
4SE1kjgRulcwjNcc7oFFg4,"4NpFxQe2UvRCAjto3JqlSl","Flower Power","From The Fires","Greta Van Fleet",2017-11-10,312533,60,spotify:user:thecrook011,2021-04-16T00:57:34Z,"modern blues rock,modern hard rock,rock",0.268,0.697,2,-5.544,1,0.0365,0.345,0.0562,0.138,0.195,166.137,4
12YYFvwwuYiw010ONgfYlW,"4NpFxQe2UvRCAjto3JqlSl","A Change Is Gonna Come","From The Fires","Greta Van Fleet",2017-11-10,197080,59,spotify:user:thecrook011,2021-04-16T00:57:38Z,"modern blues rock,modern hard rock,rock",0.361,0.69,9,-4.865,0,0.04,0.0272,0.000188,0.148,0.52,129.636,4
7aOor99o8NNLZYElOXlBG1,"4NpFxQe2UvRCAjto3JqlSl","Highway Tune","From The Fires","Greta Van Fleet",2017-11-10,180640,71,spotify:user:thecrook011,2021-04-16T00:57:42Z,"modern blues rock,modern hard rock,rock",0.582,0.962,4,-3.037,1,0.0542,0.0096,0.128,0.283,0.506,123.971,4
6CDYbIZs6DjyhDm7lUbpc1,"4NpFxQe2UvRCAjto3JqlSl","Meet On The Ledge","From The Fires","Greta Van Fleet",2017-11-10,229573,52,spotify:user:thecrook011,2021-04-16T00:57:46Z,"modern blues rock,modern hard rock,rock",0.504,0.788,5,-4.764,1,0.0391,0.291,0.0000685,0.121,0.368,145.104,4
2H9sGMEd19c2XzUyigadgS,"4NpFxQe2UvRCAjto3JqlSl","Talk On The Street","From The Fires","Greta Van Fleet",2017-11-10,248560,58,spotify:user:thecrook011,2021-04-16T00:57:49Z,"modern blues rock,modern hard rock,rock",0.526,0.927,8,-3.616,1,0.0578,0.265,0.000394,0.095,0.559,133.997,4
32BEasyNQgqXQJKoVa0fUw,"4NpFxQe2UvRCAjto3JqlSl","Black Smoke Rising","From The Fires","Greta Van Fleet",2017-11-10,259893,69,spotify:user:thecrook011,2021-04-16T00:57:52Z,"modern blues rock,modern hard rock,rock",0.558,0.902,7,-4.018,1,0.0464,0.197,0.000148,0.0852,0.572,100.027,4
54DIzLw4LLxB3n1XiiQftU,"4NpFxQe2UvRCAjto3JqlSl","Age Of Man","Anthem Of The Peaceful Army","Greta Van Fleet",2018-10-19,366186,59,spotify:user:thecrook011,2021-04-16T00:58:08Z,"modern blues rock,modern hard rock,rock",0.46,0.601,6,-5.486,0,0.0304,0.0377,0.715,0.0954,0.247,136.912,4
4qNdNbZ2qSAQhlSYJVYu6b,"4NpFxQe2UvRCAjto3JqlSl","The Cold Wind","Anthem Of The Peaceful Army","Greta Van Fleet",2018-10-19,196546,58,spotify:user:thecrook011,2021-04-16T00:58:11Z,"modern blues rock,modern hard rock,rock",0.506,0.881,7,-3.926,1,0.0363,0.00538,0.352,0.156,0.722,92.049,4
